Year,Infectious,Noninfectious
1907,301.397,781.8008
1908,208.41549,883.79551
1909,210.3611,812.4315
1910,202.85466,836.37944
1911,228.57438,845.92502
1912,176.06969,969.41511
1913,196.30404,916.23586
1914,225.92901,861.76049
1915,172.0891,915.0691
1916,135.11461,958.65789
1917,142.09519,808.02174
1918,136.37056,838.37829
1919,128.75158,1125.84372
1920,116.80475,934.32595
1921,147.33002,843.96253
1922,138.2251,782.99431
1923,150.96427,836.77592
1924,138.97302,807.13105
1925,125.63982,793.13712
1926,130.93803,809.43811
1927,121.06753,821.62556
1928,126.9398,815.23912
1929,110.88694,840.91087
1930,105.12634,751.03285
1931,91.44258,775.17812
1932,86.105705,776.882375
1933,79.957163,811.728857
1934,84.553868,847.245932
1935,76.700068,868.841252
1936,77.746961,865.425469
1937,72.034642,871.496288
1938,68.738585,894.514825
1939,71.729958,920.649272
1940,69.720861,901.711769
1941,71.899745,929.183255
1942,77.652597,969.473703
1943,71.016877,958.520523
1944,56.076173,896.028567
1945,54.101222,896.032038
1946,53.167406,946.966594
1947,48.618624,920.692936
1948,48.075551,948.707309
1949,42.728342,908.954108
1950,36.766234,919.216986
1951,37.795219,933.362621
1952,29.410062,915.382388
1953,25.342303,884.303427
1954,22.711846,887.598064
1955,18.9354,872.78933
1956,18.025569,895.326511
1957,14.729985,866.506915
1958,14.041291,836.594729
1959,13.633109,873.483551
1960,12.282238,848.681262
1961,11.619497,834.966983
1962,11.569553,859.072007
1963,10.07619,859.96021
1964,9.6299094,894.8622506
1965,8.3855779,870.8656321
1966,8.2848413,887.6935887
1967,8.280308,862.152112
1968,8.0691935,904.1660465
1969,7.4940794,860.9384306
1970,7.531572,896.321038
1971,6.9945777,839.7778723
1972,6.0509646,818.9849054
1973,5.8202658,814.8075842
1974,5.5893316,838.5163384
1975,5.0888955,779.6303145
1976,4.6461636,798.1852564
1977,4.3192636,762.2267264
1978,4.1158124,750.9721076
1979,3.4652066,730.6901334
1980,3.5861669,736.0692731
1981,3.6520171,726.7714929
1982,3.53656,752.31916
1983,3.7353496,711.3989604
1984,3.3184866,702.1904734
1985,3.945957,748.560073
1986,3.7332185,714.0747915
1987,3.9596962,717.3875038
1988,4.4337813,720.6013687
1989,4.5258783,734.3163117
1990,4.7055024,698.8344876
1991,4.8021191,684.5391909
1992,5.1148159,702.3775041
1993,5.2906729,684.2490171
1994,5.8521349,705.6820951
1995,5.9428326,689.0520074
1996,8.9877692,697.2983508
1997,8.2614,693.84868
1998,7.81402,675.78897
1999,8.52104,672.42837
2000,8.65005,665.54373
2001,8.69015,658.21514
2002,9.18174,676.66365
2003,8.89419,661.93267
2004,9.0655,655.71074
2005,8.43046,639.41119
2006,9.62791,644.32164
2007,8.91604,652.96461
2008,9.26623,668.15225
2009,8.41798,640.49522
2010,9.77226,641.43793
2011,10.74305,646.96439
2012,10.53073,636.52417
2013,11.59627,626.9249
2014,11.65035,642.55843
2015,11.98774,655.84915
2016,11.64901,643.57239
2017,10.71464,643.33753
