country,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
印度,175490,220221,222615,165458,148827,232331,89249,115967,252746,263276,282346,218323,105209,89341,133616,188192,143515,76882,136826,328466,289074,146431,69039,73422,74930,157487,253332,74836,37311,46619,41837,45109,78666,168216,47693,31091,45380,55595,83423,40265,33402,32616,77974,35165,14145,12341,15742,27407,88114,187967,1436,0,0
巴基斯坦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4282,12524,4807,1013,3866,8519,9033,4320,3330,423,1631,3485,3373,815,2408,3484,1929,935,1285,2936,4818,1836,2581,4665,5808,7053,9258,7859,0,0,0
阿富汗,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,393,612,1299,2179,1813,1767,1411,1002,226,306,442,109,178,288,577,178,72,66,211,739,204,1044,736,236,25,0,0,0,0
印尼,4681,855,766,298,614,419,176,562,57,9,43,80,1,12,2,6,-1,-1,-1,-1,-1,-1,-1,1701,13413,99016,100952,9802,2584,1875,1530,2817,1550,3202,1129,5196,5045,3435,17431,17213,56359,35283,12875,17311,16061,10081,2100,0,0,0,0,0,0
中国,554,513,110,853,927,547,617,2974,2969,2050,502,1189,1444,1621,3551,2563,12720,9863,6466,5681,5464,22790,23164,4806,862,50575,61553,10388,3325,856,2576,587,315,671,476,23,28,2,283,35,4,0,0,0,0,0,0,0,0,0,0,0,0
伊朗,-1,-1,-1,-1,446,191,552,1745,765,203,91,84,34,25,278,316,43,384,1150,1341,266,114,849,1182,509,439,295,237,142,98,2500,1900,1100,540,253,341,96,16,6,0,0,0,0,0,0,0,29,0,0,0,0,0,0
缅甸,3852,2339,1704,7654,8205,3668,2022,11767,7701,6555,4974,5574,6365,2283,702,8739,5593,6778,4834,3939,5905,3465,10222,2748,2411,164,216,1675,4226,2739,1897,1533,392,91,32,193,112,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰国,287,1113,418,125,405,56,33,20,42,152,34,2,51,294,151,235,107,133,44,925,36394,26843,1314,514,107,348,34,43,50,20,107,4,3,28,1548,32,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
朝鲜和韩国,699,1010,626,290,523,1418,1376,2787,4928,450,1273,1400,204,39,625,3265,4720,1600,1284,1654,20810,402,1197,9949,2349,43213,1377,3349,790,2,9,10,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伊拉克,832,1062,761,1956,2374,762,744,2318,1260,387,264,198,28,39,111,1079,2089,896,282,138,90,18,65,1740,707,272,469,157,251,22,72,2173,1924,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
斯里兰卡,28,65,27,18,8,41,9,106,337,72,115,3,2,1,167,1,135,124,711,409,1,8,2,4,344,25,2,1,19,29,44,66,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
